NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
15,Goblet,AK_p,478,14,0,0,0,0,0,84,0,15,Goblet,AK_p,508,0,0,0,0,15,12,0,9,0
5,Goblet,HP_p,478,0,39,0,0,0,13,42,0,0,Goblet,AK_p,0,56,35,5,0,0,0,37,0,0
10,Goblet,DF_p,269,54,42,0,10,0,0,0,0,0,Goblet,HP_p,0,19,0,0,12,0,10,44,0,0
7,Goblet,HY_p,0,31,44,9,0,0,12,0,0,0,Goblet,DF_p,0,53,19,0,4,0,21,0,0,0
21,Goblet,DF_p,568,0,16,0,0,0,0,35,10,0,Goblet,AK_p,448,0,0,0,0,0,5,84,4,0
9,Goblet,PH_p,956,37,16,0,0,0,0,21,0,0,Goblet,HP_p,508,0,60,0,0,0,6,0,6,0
5,Goblet,HP_p,0,14,0,0,10,0,0,68,0,12,Goblet,CY_p,0,19,0,0,0,12,0,35,0,18
5,Goblet,HY_p,837,19,0,0,8,0,10,0,0,0,Goblet,DF_p,448,0,42,0,0,0,0,23,10,0
11,Goblet,HY_p,926,18,0,0,9,0,0,40,0,0,Goblet,DF_p,777,16,0,0,16,0,0,0,7,0
7,Goblet,PY_p,0,33,0,9,0,14,10,0,0,0,Goblet,CY_p,0,19,60,0,0,0,20,0,3,0
15,Goblet,DF_p,0,33,0,0,0,0,12,58,0,8,Goblet,AK_p,538,53,39,0,0,0,0,16,0,0
1,Goblet,PH_p,269,33,60,0,0,0,18,0,0,0,Goblet,AK_p,568,35,21,19,0,0,0,0,0,0
6,Goblet,HP_p,0,31,0,0,15,7,10,0,0,0,Goblet,AK_p,568,33,44,0,0,0,0,0,10,0
95,Goblet,AK_p,269,0,90,0,0,5,0,0,10,0,Goblet,EL_p,0,19,0,16,0,0,5,0,0,17
